sample_index,image_id,wf_minus_mean_margin_norm,wf_minus_mean_target_drop_raw,wf_minus_mean_target_drop_norm,wf_minus_mean_bbox_precision
533,2945,0.0,0.0,0.0,0.0
534,5092,0.0,0.0,0.0,0.0
535,4930,0.0,0.0,0.0,0.0
536,7785,0.0,0.0,0.0,0.0
537,6954,0.0,0.0,0.0,0.0
538,8578,0.0,0.0,0.0,0.0
539,136,0.0,0.0,0.0,0.0
540,3527,0.0,0.0,0.0,0.0
541,940,0.0,0.0,0.0,0.0
542,1656,0.0,0.0,0.0,0.0
543,1542,0.0,0.0,0.0,0.0
544,8074,0.0,0.0,0.0,0.0
545,2789,0.0,0.0,0.0,0.0
546,8059,0.0,0.0,0.0,0.0
547,6629,0.0,0.0,0.0,0.0
548,2552,0.0,0.0,0.0,0.0
549,2161,0.0,0.0,0.0,0.0
550,6308,0.0,0.0,0.0,0.0
551,1435,0.0,0.0,0.0,0.0
552,6193,0.23584780097007751,0.2630331888794899,0.2669372521340847,-0.5
553,4218,0.0,0.0,0.0,0.0
554,606,0.0,0.0,0.0,0.0
555,6504,0.0,0.0,0.0,0.0
556,9216,0.0,0.0,0.0,0.0
557,4580,0.0,0.0,0.0,0.0
558,2788,0.0,0.0,0.0,0.0
559,7126,0.0,0.0,0.0,0.0
560,445,0.0,0.0,0.0,0.0
561,5005,0.0,0.0,0.0,0.0
562,7315,0.0,0.0,0.0,0.0
563,642,0.0,0.0,0.0,0.0
564,5377,0.0,0.0,0.0,0.0
565,7665,0.0,0.0,0.0,0.0
566,9673,0.0,0.0,0.0,0.0
567,616,0.0,0.0,0.0,0.0
568,7019,0.0,0.0,0.0,0.0
569,8780,0.0,0.0,0.0,0.0
570,8528,0.0,0.0,0.0,0.0
571,3323,0.0,0.0,0.0,0.0
572,1851,0.0,0.0,0.0,0.0
573,9102,0.0,0.0,0.0,0.0
574,3633,0.0,0.0,0.0,0.0
575,913,0.0,0.0,0.0,0.0
576,3942,0.0,0.0,0.0,0.0
577,1921,0.0,0.0,0.0,0.0
578,3544,0.0,0.0,0.0,0.0
579,734,0.0,0.0,0.0,0.0
580,2974,0.0,0.0,0.0,0.0
581,4104,0.0,0.0,0.0,0.0
582,4482,0.0,0.0,0.0,0.0
583,4447,0.0,0.0,0.0,0.0
584,974,0.0,0.0,0.0,0.0
585,6399,0.0,0.0,0.0,0.0
586,475,0.0,0.0,0.0,0.0
587,9741,0.0,0.0,0.0,0.0
588,5359,0.0,0.0,0.0,0.0
589,5553,0.0,0.0,0.0,0.0
590,3746,0.0,0.0,0.0,0.0
591,6401,0.0,0.0,0.0,0.0
592,8697,0.0,0.0,0.0,0.0
593,2793,0.0,0.0,0.0,0.0
594,5456,0.0,0.0,0.0,0.0
595,2777,0.0,0.0,0.0,0.0
596,8531,0.0,0.0,0.0,0.0
597,1600,0.0,0.0,0.0,0.0
598,4749,0.0,0.0,0.0,0.0
599,8544,0.0,0.0,0.0,0.0
600,8946,0.0,0.0,0.0,0.0
601,3795,0.0,0.0,0.0,0.0
602,1805,0.0,0.0,0.0,0.0
603,6742,0.0,0.0,0.0,0.0
604,5100,0.0,0.0,0.0,0.0
605,5225,0.0,0.0,0.0,0.0
606,8399,0.0,0.0,0.0,0.0
607,8347,0.0,0.0,0.0,0.0
608,3952,0.0,0.0,0.0,0.0
609,7252,0.0,0.0,0.0,0.0
610,3825,0.0,0.0,0.0,0.0
611,3193,0.0,0.0,0.0,0.0
612,6505,0.0,0.0,0.0,0.0
613,1779,0.0,0.0,0.0,0.0
614,6713,0.0,0.0,0.0,0.0
615,2587,0.0,0.0,0.0,0.0
616,6633,0.0,0.0,0.0,0.0
617,378,0.0,0.0,0.0,0.0
618,5944,0.0,0.0,0.0,0.0
619,3934,0.0,0.0,0.0,0.0
620,7371,0.0,0.0,0.0,0.0
621,9332,0.0,0.0,0.0,0.0
622,8113,0.0,0.0,0.0,0.0
623,4109,0.0,0.0,0.0,0.0
624,8041,0.0,0.0,0.0,0.0
625,6451,0.0,0.0,0.0,0.0
626,5994,0.0,0.0,0.0,0.0
627,7034,0.0,0.0,0.0,0.0
628,4791,0.0,0.0,0.0,0.0
629,4667,0.0,0.0,0.0,0.0
630,6571,0.0,0.0,0.0,0.0
631,607,0.0,0.0,0.0,0.0
632,8239,0.0,0.0,0.0,0.0
633,5218,0.0,0.0,0.0,0.0
634,3278,0.0,0.0,0.0,0.0
635,4959,0.0,0.0,0.0,0.0
636,1437,0.0,0.0,0.0,0.0
637,283,0.0,0.0,0.0,0.0
638,4665,0.0,0.0,0.0,0.0
639,7012,0.0,0.0,0.0,0.0
640,2252,0.4911517798900605,-0.3177095800638199,-0.3231175839900971,-0.25
